X;Y;Z;Strati;Cutoff
551839.3105;7819988.488;-9660.790039;330;0.679834941
549001.8105;7818242.879;-10422.2002;330;0.722825069
549601.8105;7818224.109;-10341.90039;330;0.968336344
550439.3105;7821189.77;-10496.09961;330;0.060308565
550626.8105;7817172.988;-10277.79981;330;0.01378551
549776.8105;7820270.039;-10117.5;330;0.442431992
550939.3105;7821020.84;-10528.09961;330;0.240398636
551376.8105;7821433.781;-10485.79981;330;0.149346618
551739.3105;7818862.289;-10293.09961;330;0.651191436
551951.8105;7818430.578;-10006.5;330;0.418357703
550126.8105;7816797.59;-10071.5;330;0.731535766
549626.8105;7819406.617;-10219.59961;330;0.993802384
550776.8105;7820082.34;-9900.080078;330;0.555191336
550676.8105;7819894.641;-9972.620117;330;0.63301099
549389.3105;7818411.809;-10328.7002;330;0.750239329
551476.8105;7818805.98;-10354.29981;330;0.070801215
550751.8105;7821246.078;-10568.7002;330;0.70037277
549326.8105;7818355.5;-10426.79981;330;0.136053652
549401.8105;7819481.699;-10447.59961;330;0.531225519
549139.3105;7817998.871;-10452.2002;330;0.681351323
550314.3105;7820551.59;-9718.400391;330;0.449688153
550501.8105;7821039.609;-10315.5;330;0.157552219
549326.8105;7820720.52;-10386.7002;330;0.159745513
550489.3105;7819706.938;-10132.5;330;0.735613603
552389.3105;7817041.598;-9676.919922;330;0.740783529
551939.3105;7818993.68;-10127.09961;330;0.298540052
549776.8105;7821715.328;-10417.79981;330;0.30921948
551014.3105;7819688.168;-10334.40039;330;0.735002634
551439.3105;7821433.781;-10472.40039;330;0.362559924
551539.3105;7821358.699;-10425.29981;330;0.989482518
552139.3105;7817717.32;-10047.59961;330;0.860049272
549939.3105;7817717.32;-10387.40039;330;0.155633226
550839.3105;7817004.059;-10267.90039;330;0.669282007
549389.3105;7819162.609;-10429.79981;330;0.236267755
549264.3105;7821283.617;-10348.79981;330;0.412604554
549589.3105;7821659.02;-10388.7002;330;0.969038953
550339.3105;7816835.129;-10010.29981;330;0.762889367
550226.8105;7819725.711;-10125.09961;330;0.617747572
550714.3105;7821734.102;-10563.59961;330;0.378973649
551026.8105;7817942.559;-10305.09961;330;0.889087852
549776.8105;7817248.07;-10274.2002;330;0.320949737
551876.8105;7818036.41;-10061.79981;330;0.129144858
551539.3105;7817154.219;-10107.7002;330;0.724136435
551589.3105;7816985.289;-10131.59961;330;0.6589026
549664.3105;7817229.301;-10132.2002;330;0.66662809
550964.3105;7819125.07;-10151.40039;330;0.33256602
550989.3105;7821189.77;-10606.2002;330;0.510060511
550651.8105;7821565.168;-10576.29981;330;0.153495051
550126.8105;7816741.277;-10130.79981;330;0.52564913
550326.8105;7817210.527;-10038.7002;330;0.351251299
552026.8105;7820157.418;-9611.799805;330;0.098513924
552339.3105;7821283.617;-10296.29981;330;0.075655338
550626.8105;7817116.68;-10317.29981;330;0.222728573
549514.3105;7818092.719;-10372.40039;330;0.159879233
550864.3105;7819800.789;-10178.7002;330;0.54931726
550501.8105;7821189.77;-10495.5;330;0.046496382
550151.8105;7819143.84;-10120.79981;330;0.106669336
549401.8105;7819650.629;-10478.09961;330;0.857279137
549876.8105;7819706.938;-10283.59961;330;0.197902097
551426.8105;7820908.219;-10462.09961;330;0.126817022
551989.3105;7820288.809;-9633.150391;330;0.708034521
550251.8105;7817492.078;-10322.7002;330;0.276860668
549864.3105;7819613.09;-10273.29981;330;0.798537451
552201.8105;7817792.398;-10042.7002;330;0.401928404
550814.3105;7820101.109;-9946.320313;330;0.422970605
551601.8105;7821058.379;-10456.59961;330;0.407919179
549339.3105;7819631.859;-10478;330;0.222829775
551526.8105;7820363.887;-10252.59961;330;0.324706911
551489.3105;7821377.469;-10432.7002;330;0.207292507
550226.8105;7817661.008;-10355.09961;330;0.939146752
551251.8105;7819950.949;-10378.2002;330;0.373979986
549951.8105;7817285.609;-10277;330;0.918529312
549689.3105;7821396.238;-10405.40039;330;0.205440434
550364.3105;7817754.859;-10333.79981;330;0.192702928
