X;Y;Z;Strati;Cutoff
549401.8105;7817679.777;-9567.099609;250;0.461437903
549614.3105;7817792.398;-9654.139648;250;0.84492203
549314.3105;7817717.32;-9587.799805;250;0.976250035
548901.8105;7816985.289;-9686.269531;250;0.912626081
549951.8105;7816703.738;-9653.610352;250;0.717004572
550951.8105;7819256.457;-9545.879883;250;0.67412056
550339.3105;7817773.629;-9676.419922;250;0.144540267
549989.3105;7817379.461;-9630.589844;250;0.206843079
551389.3105;7821809.18;-9634.709961;250;0.921465916
549464.3105;7817210.527;-9536.790039;250;0.887359189
552439.3105;7817792.398;-9523.230469;250;0.516229061
551401.8105;7821734.102;-9641.339844;250;0.996468056
549076.8105;7818881.059;-9719.75;250;0.261574065
549289.3105;7818824.75;-9685.780273;250;0.720600511
548901.8105;7821415.008;-9756.790039;250;0.901302443
549926.8105;7817736.09;-9697.419922;250;0.38029818
550389.3105;7817360.688;-9625.730469;250;0.352768631
550026.8105;7820833.141;-9665.469727;250;0.628684413
549101.8105;7818599.508;-9720.099609;250;0.246574484
549176.8105;7818317.957;-9708.980469;250;0.092646769
550301.8105;7820270.039;-9384.450195;250;0.653825697
551176.8105;7817736.09;-9574.080078;250;0.162932327
550139.3105;7817679.777;-9689.69043;250;0.75465131
548951.8105;7820044.801;-9722.599609;250;0.564295191
550801.8105;7818749.668;-9627.360352;250;0.686804742
550489.3105;7820851.91;-9590.69043;250;0.709321733
550889.3105;7820363.887;-9527.959961;250;0.779386957
549964.3105;7817642.238;-9684.700195;250;0.93570321
549214.3105;7819950.949;-9728.450195;250;0.827667547
549026.8105;7818956.141;-9730.370117;250;0.437028894
551901.8105;7817998.871;-9561.700195;250;0.154912796
550464.3105;7817417;-9640.019531;250;0.079835051
550901.8105;7821058.379;-9689.429688;250;0.54929512
550301.8105;7821020.84;-9654.299805;250;0.945065603
550389.3105;7817585.93;-9666.370117;250;0.977604115
549689.3105;7818524.43;-9581.530273;250;0.226405159
550639.3105;7817022.828;-9616.980469;250;0.33155883
548989.3105;7820495.281;-9739.299805;250;0.795169945
549026.8105;7817773.629;-9638.410156;250;0.347765312
549364.3105;7818261.648;-9705.160156;250;0.780101278
550389.3105;7820232.5;-9379.629883;250;0.648755669
549076.8105;7821827.949;-9752.209961;250;0.673024181
550364.3105;7821058.379;-9661.610352;250;0.058453733
551239.3105;7817942.559;-9557.299805;250;0.923926429
549626.8105;7821114.691;-9744.269531;250;0.770516428
549339.3105;7818561.969;-9644;250;0.97369872
550089.3105;7820776.828;-9623.469727;250;0.675963998
549689.3105;7820626.668;-9700.160156;250;0.009788061
551451.8105;7817454.539;-9591.070313;250;0.432814585
549301.8105;7819763.25;-9726.580078;250;0.298422116
549801.8105;7817004.059;-9623.740234;250;0.791464809
548889.3105;7820570.359;-9755.540039;250;0.613648546
549639.3105;7820026.027;-9658.870117;250;0.126658632
549889.3105;7816684.969;-9654.879883;250;0.703057461
549789.3105;7819706.938;-9656.69043;250;0.865656153
549039.3105;7818599.508;-9726.950195;250;0.704989835
550201.8105;7818055.18;-9700.540039;250;0.229125074
550776.8105;7819631.859;-9546.719727;250;0.179460414
549164.3105;7818881.059;-9711.660156;250;0.145508891
550826.8105;7819331.539;-9491.660156;250;0.799731607
552364.3105;7817060.367;-9439.099609;250;0.433818425
549076.8105;7817829.938;-9653.530273;250;0.579726334
549239.3105;7817604.699;-9539.379883;250;0.970092727
549526.8105;7820551.59;-9725.610352;250;0.169445123
549251.8105;7817811.168;-9632.080078;250;0.931710968
550876.8105;7816741.277;-9640.919922;250;0.794145629
548901.8105;7816928.98;-9690.549805;250;0.705304685
551326.8105;7821677.789;-9657.69043;250;0.476307936
550614.3105;7817942.559;-9618.589844;250;0.373644788
549251.8105;7817041.598;-9591.759766;250;0.617704709
551901.8105;7817811.168;-9570.110352;250;0.120328239
550714.3105;7820908.219;-9610.30957;250;0.5108405
550964.3105;7818280.418;-9600.929688;250;0.911028162
550639.3105;7821020.84;-9646.799805;250;0.802891341
549014.3105;7819969.719;-9722.799805;250;0.138403759
549426.8105;7817004.059;-9612.120117;250;0.350650309
551114.3105;7820795.598;-9669.719727;250;0.413294884
552426.8105;7817116.68;-9398.120117;250;0.924807902
551301.8105;7817191.758;-9573.820313;250;0.269021939
549551.8105;7817229.301;-9568.610352;250;0.048709078
551964.3105;7817867.48;-9567.469727;250;0.650798259
549664.3105;7820457.738;-9685.330078;250;0.16547471
550351.8105;7820964.531;-9628.969727;250;0.63688429
550839.3105;7818299.188;-9633.80957;250;0.49428099
551864.3105;7821790.41;-9532.830078;250;0.575630451
550151.8105;7821077.148;-9704.299805;250;0.699976656
551101.8105;7818411.809;-9554.419922;250;0.510916046
550026.8105;7818843.52;-9630.660156;250;0.082073502
551189.3105;7818524.43;-9552.419922;250;0.898361537
549664.3105;7818036.41;-9702.389648;250;0.244484547
550714.3105;7821189.77;-9697.679688;250;0.116318944
549501.8105;7819387.852;-9687.19043;250;0.183548944
549651.8105;7820758.059;-9731.469727;250;0.521477799
550089.3105;7821827.949;-9745.120117;250;0.260443951
551614.3105;7816684.969;-9578.179688;250;0.906377222
550989.3105;7816684.969;-9622.240234;250;0.674682162
551376.8105;7821396.238;-9686.969727;250;0.443360638
552339.3105;7817529.617;-9520.030273;250;0.477718866
549376.8105;7818205.34;-9711.320313;250;0.982040417
