X;Y;Z;Strati;Cutoff
552039.3105;7820851.91;-8850.009766;0;0.563298752
550089.3105;7819500.469;-8819.410156;0;0.44377567
549114.3105;7821433.781;-8954.410156;0;0.841413932
551976.8105;7818956.141;-8813.040039;0;0.418925612
551526.8105;7821227.309;-8900.94043;0;0.631017517
550964.3105;7819275.23;-8806.349609;0;0.730229504
552014.3105;7817661.008;-8789.830078;0;0.730947994
549751.8105;7821809.18;-8968.230469;0;0.280564613
550976.8105;7818186.57;-8807.730469;0;0.797289925
551464.3105;7821152.23;-8895.769531;0;0.534160543
549464.3105;7820194.961;-8927.660156;0;0.409677331
551526.8105;7819425.391;-8820.830078;0;0.10597476
551364.3105;7820908.219;-8886.349609;0;0.846224418
551289.3105;7821471.32;-8904.669922;0;0.894134796
551801.8105;7821752.867;-8853.799805;0;0.773581906
551989.3105;7819500.469;-8808.730469;0;0.446160856
550626.8105;7820082.34;-8775.349609;0;0.983553712
549601.8105;7821471.32;-8963.980469;0;0.836591737
552039.3105;7818561.969;-8808.179688;0;0.106387335
551501.8105;7821809.18;-8880.339844;0;0.717504355
550126.8105;7820007.258;-8812.509766;0;0.55064124
551414.3105;7820833.141;-8879.469727;0;0.965958174
548876.8105;7821133.457;-8967.650391;0;0.148674618
552226.8105;7817379.461;-8762.620117;0;0.16188132
552039.3105;7821039.609;-8859.179688;0;0.310148636
549864.3105;7819049.988;-8849.620117;0;0.060442438
549014.3105;7816666.199;-8873.290039;0;0.658301432
552039.3105;7821827.949;-8841.919922;0;0.679099802
551864.3105;7817567.16;-8791.19043;0;0.293323436
549476.8105;7818543.199;-8864.049805;0;0.891848067
550114.3105;7817154.219;-8821.719727;0;0.264234236
550289.3105;7817754.859;-8843.040039;0;0.464320375
551314.3105;7818561.969;-8791.709961;0;0.238738626
549951.8105;7818130.258;-8868.280273;0;0.14891568
551751.8105;7819200.148;-8814.780273;0;0.469940022
551776.8105;7820532.82;-8829.129883;0;0.358069313
551664.3105;7817923.789;-8796.480469;0;0.087957194
549989.3105;7821264.848;-8940.540039;0;0.006284792
549114.3105;7818749.668;-8913.709961;0;0.156123122
552439.3105;7821321.16;-8860.669922;0;0.836576464
550701.8105;7819275.23;-8776.019531;0;0.898506135
550589.3105;7819763.25;-8802.730469;0;0.782361767
551039.3105;7820645.438;-8847.509766;0;0.2480937
552064.3105;7821114.691;-8859.950195;0;0.188699889
550489.3105;7817698.547;-8830.540039;0;0.076482453
549401.8105;7818899.828;-8880.830078;0;0.470392548
