X;Y;Z;Strati;Cutoff
551789.3105;7821583.941;-9070.950195;60;0.880446239
550889.3105;7821152.23;-9116.490234;60;0.793069515
551301.8105;7818468.117;-9015.780273;60;0.896350037
551439.3105;7820626.668;-9078.950195;60;0.769764258
549951.8105;7820870.68;-9124.490234;60;0.438373369
549114.3105;7821227.309;-9192.629883;60;0.436069484
552214.3105;7818374.27;-9042.679688;60;0.230707349
550889.3105;7820476.508;-9012.849609;60;0.141108457
549389.3105;7817060.367;-9044.150391;60;0.103250366
552114.3105;7817398.227;-8984.110352;60;0.87929692
551226.8105;7816947.75;-9026.139648;60;0.943604411
549276.8105;7820457.738;-9152.769531;60;0.368222916
551951.8105;7819631.859;-9018.879883;60;0.392296493
551001.8105;7818693.359;-9045.660156;60;0.218342887
549614.3105;7817097.91;-9044.820313;60;0.461161838
551526.8105;7818524.43;-9022.950195;60;0.282912015
551001.8105;7821490.09;-9125.209961;60;0.545337054
548989.3105;7820964.531;-9197.25;60;0.935470412
549451.8105;7819913.41;-9127.44043;60;0.1305215
550114.3105;7820401.43;-9005;60;0.597656054
550714.3105;7820382.66;-8964.639648;60;0.134815092
551264.3105;7817172.988;-9016.990234;60;0.479282507
551539.3105;7821583.941;-9098.820313;60;0.525907403
551176.8105;7820983.297;-9111.330078;60;0.09308761
551526.8105;7817510.848;-9026.5;60;0.61463666
548976.8105;7819594.32;-9148.580078;60;0.256914601
549164.3105;7820270.039;-9142.589844;60;0.477881758
551301.8105;7817323.148;-9014.5;60;0.681710897
551876.8105;7818599.508;-9031.549805;60;0.956137266
552226.8105;7818411.809;-9045;60;0.463883594
549776.8105;7820101.109;-9081.30957;60;0.68058387
551276.8105;7821490.09;-9124.530273;60;0.881976277
551751.8105;7816947.75;-9013;60;0.11111594
551939.3105;7819444.16;-9033.19043;60;0.829458739
551564.3105;7821283.617;-9116.110352;60;0.208737925
551239.3105;7819725.711;-9049.009766;60;0.737554858
551751.8105;7818805.98;-9025.379883;60;0.747648215
551439.3105;7818693.359;-9012.19043;60;0.187443401
550989.3105;7820288.809;-9020.780273;60;0.420359781
549289.3105;7820701.75;-9179.320313;60;0.033516003
551614.3105;7820701.75;-9068.860352;60;0.298404058
551014.3105;7820495.281;-9040.179688;60;0.177857358
552126.8105;7820326.348;-8973.490234;60;0.475371725
549064.3105;7816684.969;-9090.639648;60;0.316187048
549689.3105;7817248.07;-9044.910156;60;0.498209834
549626.8105;7818993.68;-9070.589844;60;0.530296784
551564.3105;7819575.551;-9040.009766;60;0.554026704
551914.3105;7821133.457;-9091.099609;60;0.655209253
551326.8105;7819782.02;-9053.889648;60;0.127243451
549964.3105;7820476.508;-9063.660156;60;0.51027873
549814.3105;7817454.539;-9064.799805;60;0.694213592
549414.3105;7819932.18;-9131.070313;60;0.212523143
551951.8105;7821809.18;-9017.330078;60;0.892159126
551989.3105;7820307.578;-8968.629883;60;0.150571719
552064.3105;7819969.719;-8977.030273;60;0.162553894
549776.8105;7821433.781;-9179.049805;60;0.827225383
550051.8105;7820082.34;-9004.44043;60;0.394723832
551326.8105;7821546.398;-9119.330078;60;0.576531542
551176.8105;7819125.07;-9042.150391;60;0.854179398
551626.8105;7818749.668;-9015.049805;60;0.429235853
552226.8105;7817886.25;-9006.599609;60;0.98754518
551976.8105;7817248.07;-9003.219727;60;0.995172368
552089.3105;7818486.891;-9040.540039;60;0.829416645
549776.8105;7818205.34;-9091.280273;60;0.831814941
549551.8105;7820758.059;-9155.099609;60;0.19446343
550889.3105;7821302.391;-9131.959961;60;0.582519281
551214.3105;7817022.828;-9028.629883;60;0.283232621
551551.8105;7818336.73;-9023.730469;60;0.951292894
552139.3105;7821152.23;-9080.679688;60;0.845938878
551214.3105;7817172.988;-9019.200195;60;0.625423297
552326.8105;7819800.789;-9014.410156;60;0.469231012
549176.8105;7820532.82;-9176.879883;60;0.062796473
549589.3105;7820983.297;-9161.379883;60;0.597973046
551664.3105;7819049.988;-9036.849609;60;0.01256752
551726.8105;7818899.828;-9031.019531;60;0.672459426
551614.3105;7816741.277;-9013.030273;60;0.44878895
551914.3105;7821433.781;-9088.820313;60;0.648398756
550064.3105;7818374.27;-9089.19043;60;0.364195666
552414.3105;7817304.379;-8929.370117;60;0.99881748
551314.3105;7818524.43;-9015.25;60;0.970007303
550689.3105;7817980.098;-9053.019531;60;0.668785382
550026.8105;7820701.75;-9080.349609;60;0.276352381
551551.8105;7821433.781;-9114.620117;60;0.069011075
551439.3105;7819143.84;-9045.070313;60;0.291044241
550064.3105;7820589.129;-9053.740234;60;0.590254261
549001.8105;7820232.5;-9156.129883;60;0.739044412
552376.8105;7821246.078;-9070.25;60;0.151271639
549026.8105;7817097.91;-9062.740234;60;0.101932384
551501.8105;7821396.238;-9116.969727;60;0.218298946
549514.3105;7820270.039;-9126.650391;60;0.161142744
549626.8105;7819875.867;-9098.910156;60;0.51295248
551401.8105;7818843.52;-9021.780273;60;0.841299017
552051.8105;7817379.461;-8985.330078;60;0.820319288
549751.8105;7820645.438;-9124.589844;60;0.200791173
551339.3105;7816966.52;-9027.780273;60;0.090463373
551351.8105;7818449.348;-9016.370117;60;0.84602834
550801.8105;7816722.508;-9055.900391;60;0.929519363
551851.8105;7821208.539;-9095.480469;60;0.365572767
551851.8105;7817698.547;-9015.360352;60;0.701388953
552414.3105;7820420.199;-9035.950195;60;0.175101008
549614.3105;7820044.801;-9111.990234;60;0.443936669
549951.8105;7818580.738;-9058.070313;60;0.306900439
549689.3105;7821321.16;-9173.799805;60;0.603521797
549314.3105;7819913.41;-9140.269531;60;0.064266973
551301.8105;7816722.508;-9014.030273;60;0.727417139
550326.8105;7820326.348;-8952.019531;60;0.442044341
550589.3105;7819594.32;-8998.009766;60;0.160256265
551076.8105;7820720.52;-9081.320313;60;0.390795637
549989.3105;7817510.848;-9062.730469;60;0.017575731
551364.3105;7820776.828;-9091.480469;60;0.800672952
551051.8105;7821377.469;-9129.950195;60;0.496658919
548976.8105;7819613.09;-9149.360352;60;0.022906408
550364.3105;7821715.328;-9161.30957;60;0.109067316
551589.3105;7821734.102;-9070.730469;60;0.404960465
551276.8105;7818393.039;-9017.450195;60;0.728066812
551889.3105;7816703.738;-8992.410156;60;0.763288232
550726.8105;7821827.949;-9150.30957;60;0.831899928
550951.8105;7820007.258;-9026.280273;60;0.931939462
