X;Y;0;OrientX;OrientY;OrientZ
133.957916;98.671654;-170.015;-99999.000000;-99999.000000;-99999.000000
39.973862;69.876198;-165.048;-99999.000000;-99999.000000;-99999.000000
171.988022;73.943283;-145.777;-99999.000000;-99999.000000;-99999.000000
110.626022;135.637817;-116.027;-99999.000000;-99999.000000;-99999.000000
34.000000;372.000000;-141.308;-99999.000000;-99999.000000;-99999.000000
159.121521;127.843719;-106.012;-99999.000000;-99999.000000;-99999.000000
236.683395;212.000015;-152;-99999.000000;-99999.000000;-99999.000000
119.941879;47.463661;-158.02;-99999.000000;-99999.000000;-99999.000000
270.000000;194.000000;-133.043;-99999.000000;-99999.000000;-99999.000000
272.000000;191.546844;-108;-0.279634;0.712384;0.643673
109.954491;359.784424;-112.134;-0.574248;0.734062;0.362480
187.998703;68.143318;-120;-0.858875;0.508309;0.062889
107.939270;79.712379;-103.047;-99999.000000;-99999.000000;-99999.000000
128.145050;223.248428;-125.469;-0.440181;-0.879704;-0.179895
5.057555;57.982597;-132.001;-99999.000000;-99999.000000;-99999.000000
111.945724;23.742950;-109.363;-99999.000000;-99999.000000;-99999.000000
232.335922;132.000000;-144;-99999.000000;-99999.000000;-99999.000000
6.000000;130.000000;-159.333;-99999.000000;-99999.000000;-99999.000000
113.181114;25.734537;-112.02;-99999.000000;-99999.000000;-99999.000000
99.491272;5.657377;-152.025;-99999.000000;-99999.000000;-99999.000000
199.999405;133.997086;-97.598;-99999.000000;-99999.000000;-99999.000000
146.101547;209.554932;-154.339;-0.300523;0.201431;0.932261
71.929375;27.665504;-156.849;-99999.000000;-99999.000000;-99999.000000
216.566193;52.000000;-84;-99999.000000;-99999.000000;-99999.000000
292.000000;193.662125;-154;-99999.000000;-99999.000000;-99999.000000
262.829803;328.000000;-132;0.826577;-0.504791;-0.248910
7.182063;63.995464;-100;-99999.000000;-99999.000000;-99999.000000
1.999141;61.995934;-162.874;-99999.000000;-99999.000000;-99999.000000
87.987267;369.939697;-140.057;-99999.000000;-99999.000000;-99999.000000
21.971642;1.164564;-156.01;-99999.000000;-99999.000000;-99999.000000
216.000000;76.000000;-109.457;-99999.000000;-99999.000000;-99999.000000
39.966034;41.839123;-164.277;-99999.000000;-99999.000000;-99999.000000
218.320404;88.000000;-156;-99999.000000;-99999.000000;-99999.000000
187.951675;353.182526;-144.017;-99999.000000;-99999.000000;-99999.000000
210.000000;86.000000;-114.464;-99999.000000;-99999.000000;-99999.000000
163.959518;153.281937;-124.014;-99999.000000;-99999.000000;-99999.000000
137.945343;89.741142;-124.357;-99999.000000;-99999.000000;-99999.000000
132.137619;293.129517;-115.929;-99999.000000;-99999.000000;-99999.000000
184.554413;107.970406;-110.002;-99999.000000;-99999.000000;-99999.000000
71.965492;183.836563;-156.32;-0.315829;-0.114876;0.941836
111.971077;391.863007;-143.342;-99999.000000;-99999.000000;-99999.000000
189.383240;65.998688;-108;-99999.000000;-99999.000000;-99999.000000
229.990173;359.399445;-142.003;-0.314884;0.946624;-0.068922
29.961353;5.155962;-134.014;-99999.000000;-99999.000000;-99999.000000
109.930199;33.669392;-148.433;-99999.000000;-99999.000000;-99999.000000
69.960449;152.663757;-102.014;-0.213965;0.463621;0.859811
219.985641;367.931976;-152.727;-99999.000000;-99999.000000;-99999.000000
13.991490;39.959698;-167.417;-99999.000000;-99999.000000;-99999.000000
101.945877;15.743645;-104.456;-99999.000000;-99999.000000;-99999.000000
282.000000;8.000000;-153.586;-99999.000000;-99999.000000;-99999.000000
115.931381;49.108974;-144.024;-99999.000000;-99999.000000;-99999.000000
159.988098;21.943632;-155.196;-99999.000000;-99999.000000;-99999.000000
295.636505;182.000000;-104;-99999.000000;-99999.000000;-99999.000000
110.253159;21.706221;-118.022;0.608081;-0.678715;-0.411805
188.000000;24.000000;-158.868;-99999.000000;-99999.000000;-99999.000000
61.941296;79.721954;-135.361;-99999.000000;-99999.000000;-99999.000000
60.360538;53.724003;-154.02;-99999.000000;-99999.000000;-99999.000000
1.998346;55.700386;-118.001;-99999.000000;-99999.000000;-99999.000000
121.953255;1.778592;-160.771;-99999.000000;-99999.000000;-99999.000000
232.000000;102.000000;-130.249;-99999.000000;-99999.000000;-99999.000000
183.999344;42.458382;-156;-99999.000000;-99999.000000;-99999.000000
181.999619;27.998175;-158.573;0.176559;-0.109124;0.978222
259.441681;116.000000;-110;-99999.000000;-99999.000000;-99999.000000
292.000000;123.231110;-116;-99999.000000;-99999.000000;-99999.000000
47.992203;203.963089;-97.2754;0.166746;0.598258;0.783762
77.969368;265.854919;-120.539;-0.225421;0.924617;0.307033
-0.000131;55.999378;-173.792;-99999.000000;-99999.000000;-99999.000000
206.000000;47.161228;-94;-99999.000000;-99999.000000;-99999.000000
73.968300;241.849869;-118.96;-99999.000000;-99999.000000;-99999.000000
244.000000;225.829453;-154;-99999.000000;-99999.000000;-99999.000000
3.756375;398.000000;-120;-99999.000000;-99999.000000;-99999.000000
107.585739;31.653513;-136.026;0.986983;0.151823;0.053049
39.982452;107.916885;-163.79;-99999.000000;-99999.000000;-99999.000000
246.667526;40.000000;-100;-99999.000000;-99999.000000;-99999.000000
210.000000;74.000000;-109.247;-99999.000000;-99999.000000;-99999.000000
249.196899;113.999992;-152;-99999.000000;-99999.000000;-99999.000000
252.000000;30.527916;-142;0.250955;-0.842623;0.476454
91.927391;0.366973;-158.026;0.748314;-0.649654;-0.134075
296.000000;118.765732;-114;-99999.000000;-99999.000000;-99999.000000
53.953896;53.781639;-163.202;-99999.000000;-99999.000000;-99999.000000
206.526321;38.000000;-86;-0.848148;-0.198543;0.491147
242.000000;32.000000;-92.6177;0.556145;-0.052510;0.829425
246.000000;56.000000;-105.808;-99999.000000;-99999.000000;-99999.000000
193.998566;125.993202;-95.4583;0.184463;-0.267900;0.945623
163.961914;150.820541;-116.013;0.690552;0.641831;-0.333455
48.852280;15.721032;-136.021;-99999.000000;-99999.000000;-99999.000000
117.925652;90.678574;-138.026;-99999.000000;-99999.000000;-99999.000000
258.000000;59.781956;-152;0.751009;0.547597;-0.368949
259.677765;74.000000;-146;-99999.000000;-99999.000000;-99999.000000
39.969143;51.853848;-165.014;-99999.000000;-99999.000000;-99999.000000
179.997528;51.243004;-156.001;-99999.000000;-99999.000000;-99999.000000
89.945808;23.743324;-100.21;-99999.000000;-99999.000000;-99999.000000
58.302982;75.760727;-154.018;-99999.000000;-99999.000000;-99999.000000
227.614029;90.000000;-110;-99999.000000;-99999.000000;-99999.000000
68.991760;31.648193;-140.026;-99999.000000;-99999.000000;-99999.000000
274.000000;82.727173;-140;-99999.000000;-99999.000000;-99999.000000
196.000000;24.409357;-134;-99999.000000;-99999.000000;-99999.000000
178.669891;113.932343;-136.005;-99999.000000;-99999.000000;-99999.000000
55.961697;122.073128;-118.013;-99999.000000;-99999.000000;-99999.000000
116.923912;159.674637;-154.024;-99999.000000;-99999.000000;-99999.000000
22.000000;232.000000;-157.396;0.095922;0.465437;0.879868
107.933777;43.686340;-158.942;-99999.000000;-99999.000000;-99999.000000
192.931274;93.997856;-102;-99999.000000;-99999.000000;-99999.000000
26.842581;79.921547;-146.006;-99999.000000;-99999.000000;-99999.000000
153.988281;2.731824;-164.004;-99999.000000;-99999.000000;-99999.000000
113.946777;25.747936;-167.478;-99999.000000;-99999.000000;-99999.000000
127.302414;51.724155;-130.02;-99999.000000;-99999.000000;-99999.000000
218.368423;361.932800;-154.005;-0.283997;-0.199309;0.937882
234.000015;36.000000;-76.9032;-99999.000000;-99999.000000;-99999.000000
163.947968;240.594040;-148.018;0.569620;-0.821564;-0.023768
296.000000;342.000000;-164.654;-99999.000000;-99999.000000;-99999.000000
85.934875;91.691551;-159.595;-99999.000000;-99999.000000;-99999.000000
212.000000;52.820477;-96;-99999.000000;-99999.000000;-99999.000000
71.972092;209.867813;-155.909;-99999.000000;-99999.000000;-99999.000000
208.176285;94.000000;-134;-99999.000000;-99999.000000;-99999.000000
198.000000;56.000000;-103.175;-0.146068;0.087644;0.985385
67.997627;343.988770;-147.178;0.121295;-0.074488;0.989818
77.932732;17.681381;-113.557;-99999.000000;-99999.000000;-99999.000000
199.970459;297.807343;-138.01;0.404763;-0.854371;-0.325909
8.000000;138.000000;-157.422;-99999.000000;-99999.000000;-99999.000000
160.156784;-0.029824;-166.002;-99999.000000;-99999.000000;-99999.000000
53.960754;183.921478;-156.006;0.536501;-0.395437;-0.745517
