,0
424,40.23061
425,40.229053
426,40.227337
427,40.225822
428,40.22496
429,40.224392
430,40.22386
431,40.223537
432,40.22327
433,40.223545
434,40.223656
435,40.22381
436,40.223827
437,40.22325
438,40.22247
439,40.22211
440,40.221966
441,40.221638
442,40.220997
443,40.220676
444,40.2199
445,40.219723
446,40.219418
447,40.218586
448,40.218777
449,40.218464
450,40.21868
451,40.218243
452,40.217804
453,40.217197
454,40.216133
455,40.21613
456,40.216213
457,40.21616
458,40.216206
459,40.216
460,40.215702
461,40.2155
462,40.215603
463,40.21579
464,40.21627
465,40.216305
466,40.216602
467,40.21704
468,40.216953
469,40.217453
470,40.21744
471,40.21695
472,40.216557
473,40.215885
474,40.215553
475,40.215168
476,40.215134
477,40.21526
478,40.216103
479,40.21667
480,40.21707
481,40.21747
482,40.218132
483,40.219196
484,40.219646
485,40.220036
486,40.22035
487,40.22116
488,40.22156
489,40.22268
490,40.223072
491,40.22328
492,40.223755
493,40.222878
494,40.221783
495,40.221413
496,40.221428
497,40.220646
498,40.220036
499,40.21836
500,40.216625
501,40.213238
502,40.211525
503,40.211384
504,40.21097
505,40.210506
506,40.209473
507,40.208424
508,40.2074
509,40.20583
510,40.20574
511,40.20646
512,40.20613
513,40.20665
514,40.206497
515,40.20717
516,40.207153
517,40.208378
518,40.20842
519,40.207146
520,40.20815
521,40.208004
522,40.20697
523,40.205635
524,40.203876
525,40.203197
526,40.20156
527,40.200165
528,40.19844
529,40.196583
530,40.19504
531,40.193657
532,40.191917
533,40.190437
534,40.188305
535,40.18607
536,40.18425
537,40.182266
538,40.179844
539,40.178802
540,40.177914
541,40.17717
542,40.09027
543,40.332233
544,40.33321
545,40.332443
546,40.332077
547,40.331253
548,40.330555
549,40.33077
550,40.330666
551,40.33052
552,40.330048
553,40.329323
554,40.32917
555,40.328777
556,40.328568
557,40.328365
558,40.328213
559,40.319565
560,40.317455
561,40.3143
562,40.312057
563,40.309647
564,40.30769
565,40.30625
566,40.304977
567,40.303894
568,40.30299
569,40.30182
570,40.30135
571,40.300716
572,40.299904
573,40.298817
574,40.29746
575,40.296307
576,40.29498
577,40.293377
578,40.291935
579,40.290604
580,40.2895
581,40.288776
582,40.289055
583,40.288166
584,40.28569
585,40.28118
586,40.27706
587,40.272915
588,40.268627
589,40.26566
590,40.262417
591,40.259884
592,40.256508
593,40.253647
594,40.251198
595,40.24856
596,40.245895
597,40.243687
598,40.24107
599,40.23931
600,40.23774
601,40.23626
602,40.234745
603,40.233746
604,40.231792
605,40.230515
606,40.228416
607,40.226643
608,40.224937
609,40.223633
610,40.222446
611,40.22178
612,40.221416
613,40.221386
614,40.221176
615,40.221836
616,40.22193
617,40.221676
618,40.22123
619,40.221107
620,40.22063
621,40.22053
622,40.22031
623,40.21987
624,40.219646
625,40.21908
626,40.21894
627,40.218987
628,40.218822
629,40.218246
630,40.218304
631,40.218895
632,40.218315
633,40.21773
634,40.217186
635,40.21661
636,40.216553
637,40.21665
638,40.21648
639,40.215828
640,40.215736
641,40.216087
642,40.21612
643,40.216263
644,40.216328
645,40.217045
646,40.21733
647,40.217518
648,40.217636
649,40.21749
650,40.217705
651,40.21712
652,40.217392
653,40.216667
654,40.216568
655,40.216007
656,40.216305
657,40.21656
658,40.216324
659,40.2172
660,40.217617
661,40.219036
662,40.219795
663,40.220333
664,40.221035
665,40.22113
666,40.221462
667,40.220932
668,40.221878
669,40.223236
670,40.224106
671,40.22471
672,40.225414
673,40.226635
674,40.226612
675,40.22616
676,40.22545
677,40.224827
678,40.224014
679,40.223347
680,40.222977
681,40.22228
682,40.220535
683,40.21834
684,40.216644
685,40.215546
686,40.215317
687,40.216015
688,40.21463
689,40.2114
690,40.209156
691,40.20759
692,40.205647
693,40.205093
694,40.204727
695,40.2051
696,40.20573
697,40.205498
698,40.206142
699,40.206043
700,40.20612
701,40.206657
702,40.206505
703,40.205547
704,40.205154
705,40.204296
706,40.203617
707,40.2023
708,40.201332
709,40.199696
710,40.19793
711,40.196472
712,40.19526
713,40.193768
714,40.192005
715,40.19034
716,40.18827
717,40.18634
718,40.184048
719,40.182186
720,40.18031
721,40.179153
722,40.178047
723,40.092136
724,40.333015
725,40.33301
726,40.33229
727,40.331696
728,40.33177
729,40.330566
730,40.330353
731,40.330433
732,40.330006
733,40.32943
734,40.328926
735,40.32839
736,40.32816
737,40.3277
738,40.326958
739,40.326393
740,40.32614
741,40.317608
742,40.315224
743,40.312744
744,40.310513
745,40.30844
746,40.306488
747,40.304527
748,40.302547
749,40.301533
750,40.300694
751,40.300037
752,40.29933
753,40.29879
754,40.298306
755,40.29733
756,40.295704
757,40.294727
758,40.29376
759,40.29194
760,40.290535
761,40.288906
762,40.287663
763,40.287163
764,40.286575
765,40.28571
766,40.281876
767,40.278484
768,40.27481
769,40.271114
770,40.267853
771,40.26488
772,40.261997
773,40.25918
774,40.256565
775,40.252926
776,40.249382
777,40.245655
778,40.242695
779,40.23989
780,40.23759
781,40.235695
782,40.233402
783,40.23186
784,40.23056
785,40.229366
786,40.228508
787,40.227215
788,40.225704
789,40.224117
790,40.222576
791,40.22118
792,40.22011
793,40.219524
794,40.219467
795,40.21921
796,40.219624
797,40.21952
798,40.219448
799,40.219273
800,40.21889
801,40.218773
802,40.218567
803,40.21853
804,40.21881
805,40.218143
806,40.217976
807,40.218147
808,40.217636
809,40.21839
810,40.218136
811,40.2184
812,40.218193
813,40.218193
814,40.217342
815,40.2172
816,40.217045
817,40.21687
818,40.217117
819,40.21666
820,40.216434
821,40.216255
822,40.216515
