,G_x,G_y,G_z,X,Y,Z,azimuth,beta,dip,formation,index,kappa,n_points,polarity
14,0.556670399227,-0.321393804842,0.76604444312,784573.5538,6348245.5448,384.50486119999994,120.0,666,39.99999999991087,Carboniferous,66.0,666,5.0,1
15,-0.409576022143,-0.286788218175,0.866025403785,785080.44075,6347789.038000001,393.027424,235.0,666,29.999999999885404,Carboniferous,67.0,666,4.0,1
16,-0.03597889441866823,0.27395681037595204,0.9610687723597333,784559.492888,6349870.141096666,344.2013016666667,353.0,6.313605420857235,16.040053533359814,Carboniferous,68.0,666,6.0,1
17,0.07962833096024849,-0.17894763652848653,0.9806309562161262,783524.3663333333,6350893.060833334,368.1449198333333,156.0,1.6847290173071525,11.295233475465995,Carboniferous,69.0,666,6.0,1
18,0.280166499594,-0.196174694968,0.939692620787,780270.7166666667,6350064.349166666,402.31151966666675,125.0,0,19.999999999832475,Carboniferous,71.0,9999,6.0,1
19,0.0962713735858,-0.247077510205,0.964201496877,781459.372125,6352671.2465,577.2899895,159.0,27.46930006235364,15.37709306956497,Carboniferous,72.0,61.390984279208695,7.0,1
20,0.23870895237,-0.137818677907,0.961261695939,780359.0623999999,6351821.1124,531.1463326,120.0,666,15.999999999792132,Carboniferous,74.0,666,5.0,1
21,0.184269116032,0.129026624105,0.974370064786,787378.8495,6350790.181499999,285.641895,55.0,666,12.999999999745299,Carboniferous,76.0,666,2.0,1
22,0.0744655208258,-0.110722914815,0.991057678616,790780.6106427143,6349031.890450785,249.8115717857143,146.0,15.670318183954265,7.668085252411974,Carboniferous,80.0,48.265252046964356,12.0,1
23,0.249492573114,-0.151069593894,0.956520482667,789764.0638256666,6349822.014334417,255.28817683333332,121.0,15.213011560043578,16.95767312022146,Carboniferous,81.0,41.526206366689074,12.0,1
24,0.469846310394,0.171010071664,0.866025403785,787092.9175,6349076.7865,480.50055050000003,70.0,0,29.999999999885404,Carboniferous,83.0,9999,2.0,1
25,0.257834160497,-0.0225575661121,0.96592582629,786943.936115,6348452.9389372,356.90800079999997,95.0,666,14.999999999778625,Carboniferous,84.0,666,5.0,1
26,0.167731259498,-0.0449434555265,0.984807753013,786510.669,6346035.0934,355.7341948,105.0,666,9.999999999670067,Carboniferous,85.0,666,5.0,1
27,1.0000106735e-12,-0.0871557427467,0.996194698093,780748.3364999999,6348704.481625,304.61519787500004,180.0,0,4.999999999342611,Carboniferous,88.0,9999,8.0,1
