X,Y,Z,X_r,Y_r,Z_r,G_x,G_y,G_z,dip,azimuth,polarity,surface,series,id,order_series,smooth
692.8349999999627,501.7379999998957,43.03199999999998,0.5252838625119021,0.5441931071765292,0.5001117331312338,-0.06156896416666585,0.011301980882144508,0.9980388408681693,3.5889305131602898,280.40176577513137,1.0,Quartaer,Auffuel,3,3,0
700.9699999997392,537.480000000447,42.98000000000002,0.5288190114964995,0.5597251655677893,0.5000891359895984,-0.08228164622543659,-0.03525160517610148,0.9959854692859215,5.135709151361729,246.808444268822,1.0,Quartaer,Auffuel,3,3,0
619.0990000003949,597.1430000001565,42.504999999999995,0.49324111567306905,0.5856523436713912,0.49988271979196713,-0.04035869213207277,-0.05617156457534052,0.9976050978740781,3.9661417109431443,215.6968573425723,1.0,Quartaer,Auffuel,3,3,0
656.3090000003576,741.2379999998957,41.795000000000016,0.5094111087548577,0.6482703268242656,0.4995741818965605,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,Quartaer,Auffuel,3,3,0
668.3410000000149,891.4419999998063,39.50799999999998,0.5146397396808113,0.7135430395589599,0.49858034222501824,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,Quartaer,Auffuel,3,3,0
625.5949999997392,139.41100000031292,48.84899999999999,0.4960640201355469,0.38674013530487195,0.5026395710714879,0.005412067380239674,-0.029509141300110578,0.9995498587405997,1.7192076463528847,169.60727603560238,1.0,Quartaer,Auffuel,3,3,0
600.9490000000224,-70.26400000043213,49.81200000000001,0.4853538441213146,0.2956236800659715,0.5030580527521592,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,Quartaer,Auffuel,3,3,0
600.4189999997616,-175.0219999998808,50.649,0.48512352710068646,0.2501,0.5034217798204063,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,Quartaer,Auffuel,3,3,0
618.6540000000969,-71.05099999997765,45.173,0.4930477362877903,0.2952816810187253,0.5010421269820304,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,Quartaer,Auffuel,3,3,0
604.6789999995381,134.7620000001043,48.82499999999999,0.48697475447302924,0.38471986393049185,0.5026291416215024,0.005412067380239674,-0.029509141300110578,0.9995498587405997,1.7192076463528847,169.60727603560238,1.0,Quartaer,Auffuel,3,3,0
638.0230000000447,135.9320000000298,48.678999999999974,0.5014647369865443,0.38522829961725635,0.5025656958007568,0.005412067380239674,-0.029509141300110578,0.9995498587405997,1.7192076463528847,169.60727603560238,1.0,Quartaer,Auffuel,3,3,0
595.1260000001639,273.58399999979883,47.855999999999995,0.4828233988186255,0.44504641000943235,0.5022080525783347,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,Quartaer,Auffuel,3,3,0
603.6339999996126,400.3650000002235,46.62299999999999,0.48652063883827296,0.500140414118843,0.5016722395853257,0.028921503916646683,0.021710383656631006,0.9993458889967883,2.0724641838455247,53.10569601314165,1.0,Quartaer,Auffuel,3,3,0
609.6480000000447,500.36799999978393,39.47300000000001,0.48913408518067986,0.5435977594064707,0.49856513261045593,0.03957029954592811,0.04503459949925779,0.9982014206781878,3.436905116396796,41.304621956656916,1.0,Quartaer,Auffuel,3,3,0
635.4620000002906,398.74299999978393,44.036,0.5003518277611069,0.49943555712379345,0.5005480317889638,0.028723533864992986,0.021676731050317016,0.9993523292289753,2.0622353276456935,52.959314273593534,1.0,Quartaer,Auffuel,3,3,0
641.445000000298,499.20000000018626,37.966999999999985,0.5029518027304312,0.5430901928406808,0.49791068462386096,-0.016265240213125018,0.02359334552670563,0.9995893136732108,1.6421303092672326,325.4176404385816,1.0,Quartaer,Auffuel,3,3,0
708.5650000004098,381.61600000038743,41.521000000000015,0.5321194978568099,0.49199284087809836,0.4994551123425585,0.07880241723875174,0.010585623380391686,0.9968340501894739,4.560414200067241,82.34918903017581,1.0,Quartaer,Auffuel,3,3,0
672.4610000001267,561.070000000298,44.173,0.5164301285950507,0.5699764457827146,0.5006075665659647,-0.05140927411311329,-0.04841367844219437,0.9975034848443658,4.049441478607454,226.71887818183893,1.0,Quartaer,Auffuel,3,3,0
662.3590000001714,791.1310000000522,41.497000000000014,0.5120401992719743,0.6699518496630998,0.49944468289257293,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,Quartaer,Auffuel,3,3,0
601.2889999998733,350.0590000003576,46.19300000000004,0.4855015946627122,0.47827941782829997,0.5014853786064175,0.03820394369501915,0.0484295632271096,0.9980957048770166,3.5365003121049834,38.26834880891278,1.0,verwKeuper,Sand,4,4,0
605.9550000000745,451.2609999999404,44.235000000000014,0.48752925356416216,0.5222578010548001,0.5006345093117608,0.06896799860290788,0.010538413329662686,0.9975632095337902,4.000690487315328,81.31231749283762,1.0,verwKeuper,Sand,4,4,0
610.6409999998286,552.6100000003353,45.174000000000035,0.48956560367373925,0.5663000646628148,0.5010425615424465,0.017350054272826945,-2.79076548683748e-05,0.99984947609124,0.9941360510061594,90.09216049087192,1.0,verwKeuper,Sand,4,4,0
615.1390000004321,450.65199999976903,43.56,0.49152025642546504,0.5219931537613416,0.5003411810309164,0.06069412533891313,0.011066782786968432,0.9980950603375562,3.5370989444295713,79.66638308141927,1.0,verwKeuper,Sand,4,4,0
651.5650000004098,357.98000000044703,45.47800000000001,0.5073495541410646,0.48172157088399525,0.5011746679089305,0.04386454565270122,0.049067260094129636,0.9978318022711636,3.7736843766007966,41.79568550369519,1.0,verwKeuper,Sand,4,4,0
648.8009999999776,449.5599999995902,42.422000000000025,0.5061484291508713,0.5215186137869202,0.4998466512774337,0.04760139727774792,0.005705853219024865,0.9988501139902589,2.747936229813539,83.16471925363288,1.0,verwKeuper,Sand,4,4,0
646.2330000000075,549.1040000002831,42.38499999999999,0.5050324780024275,0.5647764958440658,0.4998305725420393,0.028243880772875603,-0.0018877019784506567,0.9995992796026716,1.6220822018082606,93.82372169153057,1.0,verwKeuper,Sand,4,4,0
682.7189999995753,446.7050000000745,39.87299999999999,0.5208878493428131,0.5202779437992631,0.4987389567768822,0.030149637060854273,0.00480559370442406,0.9995338441775324,1.749524624087338,80.94372455747899,1.0,verwKeuper,Sand,4,4,0
692.8349999999627,501.7379999998957,40.73199999999997,0.5252838625119021,0.5441931071765292,0.4991122441742826,0.029541649665113676,-0.013049926423284303,0.9994783591241195,1.850726821584544,113.83328672052316,1.0,verwKeuper,Sand,4,4,0
700.9699999997392,537.480000000447,40.379999999999995,0.5288190114964995,0.5597251655677893,0.49895927890782754,0.01985182838419116,-0.032034782334669866,0.9992895864725846,2.1598269497175098,148.21366798564964,1.0,verwKeuper,Sand,4,4,0
619.0990000003949,597.1430000001565,41.204999999999984,0.49324111567306905,0.5856523436713912,0.4993177912510817,0.024232090625236354,0.060721497246507085,0.9978605641863187,3.7485621892365906,21.75542900553081,1.0,verwKeuper,Sand,4,4,0
656.3090000003576,741.2379999998957,40.94499999999999,0.5094111087548577,0.6482703268242656,0.49920480554290464,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,verwKeuper,Sand,4,4,0
668.3410000000149,891.4419999998063,37.50799999999998,0.5146397396808113,0.7135430395589599,0.4977112213928868,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,verwKeuper,Sand,4,4,0
