X,Y,Z,azimuth,dip,polarity,G_x,G_y,G_z,formation,uncertainty
789722.285,6348496.595,301.926427,240.0,28.0,1,-0.4065742997259625,-0.2347357813919456,0.882947592859927,Triassic,a
789801.6059999999,6348536.613,314.977241,220.0,42.0,1,-0.4301088630285152,-0.5125837827210357,0.7431448254783942,Triassic,a
789844.359,6348451.667,326.286202,237.0,28.0,1,-0.3937319821948689,-0.25569253892170424,0.882947592859927,Triassic,a
789791.641,6348338.695,346.172781,230.0,15.0,1,-0.19826689127314606,-0.16636567534180194,0.9659258262900684,Triassic,a
789862.9190000001,6348550.819,337.399222,40.0,20.0,1,0.21984631039395414,0.2620026302303849,0.9396926207869084,Triassic,a
791810.82,6348517.541,225.01666200000003,150.0,40.0,1,0.32139380484426955,-0.5566703992254194,0.766044443119978,Triassic,a
791535.094612,6349465.07815,305.307894,170.0,25.0,1,0.07338689100103822,-0.4161977407257834,0.90630778703765,Triassic,a
790380.902,6348530.443,382.031708,345.0,25.0,1,-0.10938165494561496,0.4082178936777348,0.90630778703765,Triassic,a
790648.417,6348594.282000001,361.850107,218.0,17.0,1,-0.1800019950720778,-0.2303920473708458,0.9563047559640354,Triassic,a
790932.632896,6349289.78649,257.757844,70.0,28.0,1,0.4411589632197298,0.1605687311923561,0.882947592859927,Triassic,a
790801.44343,6349526.681654,303.198351,100.0,25.0,1,0.41619774072778337,-0.07338689099903822,0.90630778703765,Triassic,a
790472.636828,6349858.678322,301.9693680000001,15.0,25.0,1,0.109381654947615,0.4082178936777348,0.90630778703765,Triassic,a
790328.963297,6349980.036851998,324.766417,15.0,13.0,1,0.058221617081084386,0.21728603304269486,0.9743700647862352,Triassic,a
790235.0190000001,6350127.219,297.331854,15.0,13.0,1,0.058221617081084386,0.21728603304269486,0.9743700647862352,Triassic,a
789919.015,6350219.37,300.7260080000001,345.0,20.0,1,-0.08852132690037684,0.3303660895503521,0.9396926207869084,Triassic,a
